Date,Time,Open,High,Low,Close,Value
2022.08.19,00:00,1.19277,1.19368,1.19049,1.19055,14161
2022.08.19,04:00,1.19055,1.19258,1.18939,1.19022,14043
2022.08.19,08:00,1.19022,1.19260,1.18798,1.18956,26899
2022.08.19,12:00,1.18956,1.18965,1.18156,1.18476,27041
2022.08.19,16:00,1.18473,1.18577,1.17920,1.18255,28909
2022.08.19,20:00,1.18256,1.18345,1.18106,1.18253,12217
2022.08.22,00:00,1.18104,1.18336,1.18051,1.18069,6874
2022.08.22,04:00,1.18068,1.18366,1.18057,1.18305,14689
2022.08.22,08:00,1.18303,1.18364,1.17822,1.18126,27460
2022.08.22,12:00,1.18124,1.18228,1.17894,1.18184,24804
2022.08.22,16:00,1.18184,1.18271,1.17421,1.17752,28737
2022.08.22,20:00,1.17751,1.17760,1.17517,1.17657,10113
2022.08.23,00:00,1.17637,1.17821,1.17571,1.17743,8326
2022.08.23,04:00,1.17742,1.17848,1.17634,1.17642,12639
2022.08.23,08:00,1.17633,1.17792,1.17174,1.17777,32521
2022.08.23,12:00,1.17777,1.17830,1.17460,1.17648,24633
2022.08.23,16:00,1.17648,1.18779,1.17571,1.18487,39139
2022.08.23,20:00,1.18487,1.18504,1.18167,1.18334,12565
2022.08.24,00:00,1.18289,1.18382,1.18127,1.18130,8895
2022.08.24,04:00,1.18131,1.18279,1.17986,1.18249,14220
2022.08.24,08:00,1.18246,1.18338,1.18008,1.18226,19559
2022.08.24,12:00,1.18225,1.18264,1.17582,1.17724,28712
2022.08.24,16:00,1.17725,1.18258,1.17559,1.17853,35714
2022.08.24,20:00,1.17853,1.18020,1.17810,1.17964,11926
2022.08.25,00:00,1.17930,1.18150,1.17832,1.18117,9856
2022.08.25,04:00,1.18122,1.18425,1.18036,1.18348,14514
2022.08.25,08:00,1.18349,1.18646,1.18252,1.18440,25018
2022.08.25,12:00,1.18440,1.18572,1.18091,1.18204,25709
2022.08.25,16:00,1.18204,1.18502,1.17930,1.18209,31379
2022.08.25,20:00,1.18210,1.18391,1.18176,1.18329,13701
2022.08.26,00:00,1.18316,1.18382,1.18055,1.18140,8281
2022.08.26,04:00,1.18140,1.18313,1.18079,1.18088,11765
2022.08.26,08:00,1.18089,1.18103,1.17754,1.18013,25160
2022.08.26,12:00,1.18013,1.18544,1.18011,1.18536,25714
2022.08.26,16:00,1.18535,1.19012,1.17456,1.17535,53216
2022.08.26,20:00,1.17535,1.17578,1.17331,1.17380,12871
2022.08.29,00:00,1.17294,1.17342,1.16749,1.16782,10430
2022.08.29,04:00,1.16782,1.16857,1.16520,1.16543,14865
2022.08.29,08:00,1.16544,1.16829,1.16485,1.16585,32008
2022.08.29,12:00,1.16585,1.17345,1.16568,1.17170,30184
2022.08.29,16:00,1.17170,1.17443,1.16862,1.17226,33624
2022.08.29,20:00,1.17228,1.17293,1.16982,1.17090,11647
2022.08.30,00:00,1.17090,1.17252,1.17010,1.17162,14772
2022.08.30,04:00,1.17164,1.17265,1.16867,1.17053,13405
2022.08.30,08:00,1.17050,1.17528,1.16983,1.17383,31052
2022.08.30,12:00,1.17383,1.17607,1.16881,1.16986,30349
2022.08.30,16:00,1.16984,1.17220,1.16215,1.16511,43273
2022.08.30,20:00,1.16511,1.16699,1.16466,1.16543,14268
2022.08.31,00:00,1.16462,1.16752,1.16462,1.16667,9820
2022.08.31,04:00,1.16667,1.16924,1.16593,1.16840,13003
2022.08.31,08:00,1.16842,1.16937,1.16360,1.16414,28106
2022.08.31,12:00,1.16416,1.16509,1.16019,1.16377,30730
2022.08.31,16:00,1.16377,1.16537,1.15991,1.16255,43176
2022.08.31,20:00,1.16255,1.16305,1.16057,1.16206,17161
2022.09.01,00:00,1.16207,1.16221,1.15736,1.15831,22372
2022.09.01,04:00,1.15830,1.15908,1.15678,1.15777,14762
2022.09.01,08:00,1.15776,1.16168,1.15720,1.15976,32901
2022.09.01,12:00,1.15976,1.16078,1.15497,1.15646,31685
2022.09.01,16:00,1.15648,1.15790,1.14989,1.15339,43563
2022.09.01,20:00,1.15339,1.15554,1.15325,1.15442,15164
2022.09.02,00:00,1.15418,1.15596,1.15255,1.15503,8540
2022.09.02,04:00,1.15497,1.15556,1.15397,1.15505,13748
2022.09.02,08:00,1.15504,1.15695,1.15324,1.15553,24476
2022.09.02,12:00,1.15553,1.15888,1.15316,1.15399,31149
2022.09.02,16:00,1.15399,1.15889,1.15154,1.15238,44009
2022.09.02,20:00,1.15237,1.15238,1.14957,1.15126,18756
2022.09.05,00:00,1.14797,1.14984,1.14653,1.14797,13571
2022.09.05,04:00,1.14795,1.14931,1.14568,1.14648,20986
2022.09.05,08:00,1.14648,1.14941,1.14435,1.14903,35058
2022.09.05,12:00,1.14902,1.15189,1.14803,1.14910,23518
2022.09.05,16:00,1.14911,1.15214,1.14911,1.15151,16618
2022.09.05,20:00,1.15154,1.15216,1.15127,1.15167,3426
2022.09.06,00:00,1.15159,1.15913,1.15088,1.15905,10134
2022.09.06,04:00,1.15904,1.16001,1.15599,1.15630,18974
2022.09.06,08:00,1.15630,1.16094,1.15492,1.15742,38542
2022.09.06,12:00,1.15741,1.16086,1.15466,1.15471,30063
2022.09.06,16:00,1.15472,1.15516,1.14938,1.15302,43767
2022.09.06,20:00,1.15303,1.15329,1.15125,1.15184,17916
2022.09.07,00:00,1.15141,1.15238,1.14785,1.14798,7410
2022.09.07,04:00,1.14795,1.14860,1.14512,1.14781,21225
2022.09.07,08:00,1.14786,1.15234,1.14694,1.14955,27810
2022.09.07,12:00,1.14955,1.15015,1.14141,1.14315,33598
2022.09.07,16:00,1.14315,1.15004,1.14050,1.14952,35102
2022.09.07,20:00,1.14952,1.15395,1.14938,1.15331,14844
2022.09.08,00:00,1.15316,1.15411,1.15004,1.15059,10691
2022.09.08,04:00,1.15059,1.15160,1.14905,1.15051,18297
2022.09.08,08:00,1.15051,1.15222,1.14779,1.14958,31700
2022.09.08,12:00,1.14959,1.15609,1.14761,1.15029,36363
2022.09.08,16:00,1.15027,1.15162,1.14605,1.14817,50657
2022.09.08,20:00,1.14817,1.15171,1.14791,1.15012,20832
2022.09.09,00:00,1.14972,1.15520,1.14881,1.15427,12430
2022.09.09,04:00,1.15427,1.15959,1.15402,1.15880,21937
2022.09.09,08:00,1.15881,1.16482,1.15785,1.16297,32180
2022.09.09,12:00,1.16297,1.16306,1.15511,1.15754,31355
2022.09.09,16:00,1.15753,1.16023,1.15677,1.16015,33543
2022.09.09,20:00,1.16015,1.16016,1.15806,1.15863,10578
2022.09.12,00:00,1.16355,1.16376,1.16021,1.16117,10349
2022.09.12,04:00,1.16115,1.16288,1.16005,1.16049,15245
2022.09.12,08:00,1.16050,1.17000,1.16048,1.16918,39589
2022.09.12,12:00,1.16918,1.17045,1.16631,1.16922,29376
2022.09.12,16:00,1.16922,1.17108,1.16636,1.17091,29260
2022.09.12,20:00,1.17091,1.17091,1.16752,1.16807,13211
2022.09.13,00:00,1.16807,1.17054,1.16752,1.16950,9100
2022.09.13,04:00,1.16948,1.16982,1.16788,1.16817,13693
2022.09.13,08:00,1.16819,1.17324,1.16798,1.17144,24350
2022.09.13,12:00,1.17144,1.17383,1.15536,1.15554,33163
2022.09.13,16:00,1.15550,1.15846,1.15153,1.15245,42674
2022.09.13,20:00,1.15244,1.15371,1.14915,1.14919,17910
2022.09.14,00:00,1.14943,1.15125,1.14807,1.15019,15086
2022.09.14,04:00,1.15019,1.15300,1.14873,1.15211,17058
2022.09.14,08:00,1.15210,1.15524,1.14799,1.15383,37187
2022.09.14,12:00,1.15379,1.15727,1.15328,1.15568,32743
2022.09.14,16:00,1.15569,1.15898,1.15395,1.15656,33162
2022.09.14,20:00,1.15654,1.15705,1.15265,1.15392,13444
2022.09.15,00:00,1.15392,1.15492,1.15097,1.15337,3829
2022.09.15,04:00,1.15337,1.15476,1.15201,1.15246,5751
2022.09.15,08:00,1.15248,1.15382,1.15063,1.15281,19334
2022.09.15,12:00,1.15280,1.15282,1.14717,1.15095,26463
2022.09.15,16:00,1.15093,1.15175,1.14633,1.14811,31821
2022.09.15,20:00,1.14811,1.14987,1.14616,1.14685,10889
2022.09.16,00:00,1.14685,1.14783,1.14507,1.14709,5276
2022.09.16,04:00,1.14709,1.14803,1.14548,1.14657,5803
2022.09.16,08:00,1.14657,1.14657,1.13507,1.13708,27121
2022.09.16,12:00,1.13710,1.14136,1.13710,1.13783,25831
2022.09.16,16:00,1.13784,1.14469,1.13766,1.13974,39230
2022.09.16,20:00,1.13974,1.14259,1.13861,1.14230,15230
2022.09.19,00:00,1.14054,1.14416,1.14054,1.14242,5794
2022.09.19,04:00,1.14242,1.14282,1.13941,1.14012,7780
2022.09.19,08:00,1.14013,1.14048,1.13649,1.13660,16353
2022.09.19,12:00,1.13660,1.13913,1.13555,1.13717,19683
2022.09.19,16:00,1.13716,1.14211,1.13630,1.14177,21380
2022.09.19,20:00,1.14178,1.14401,1.14081,1.14322,9033
2022.09.20,00:00,1.14288,1.14604,1.14105,1.14306,8853
2022.09.20,04:00,1.14306,1.14364,1.14089,1.14279,8956
2022.09.20,08:00,1.14279,1.14608,1.14124,1.14323,20554
2022.09.20,12:00,1.14323,1.14556,1.14058,1.14182,26750
2022.09.20,16:00,1.14180,1.14260,1.13721,1.13835,30486
2022.09.20,20:00,1.13835,1.13876,1.13574,1.13799,14894
2022.09.21,00:00,1.13763,1.13841,1.13638,1.13717,9007
2022.09.21,04:00,1.13717,1.13826,1.13650,1.13683,10672
2022.09.21,08:00,1.13683,1.13828,1.13041,1.13299,35396
2022.09.21,12:00,1.13299,1.13497,1.13276,1.13426,21658
2022.09.21,16:00,1.13424,1.13504,1.13126,1.13143,29508
2022.09.21,20:00,1.13144,1.13573,1.12358,1.12681,42779
2022.09.22,00:00,1.12648,1.12918,1.12243,1.12272,7949
2022.09.22,04:00,1.12272,1.12540,1.12198,1.12430,17880
2022.09.22,08:00,1.12429,1.13547,1.12117,1.13259,45837
2022.09.22,12:00,1.13259,1.13649,1.12695,1.13360,45409
2022.09.22,16:00,1.13344,1.13356,1.12417,1.12644,43570
2022.09.22,20:00,1.12644,1.12710,1.12499,1.12538,16039
2022.09.23,00:00,1.12576,1.12741,1.12502,1.12642,5780
2022.09.23,04:00,1.12640,1.12686,1.12225,1.12318,12321
2022.09.23,08:00,1.12317,1.12447,1.11506,1.11751,29913
2022.09.23,12:00,1.11753,1.12096,1.10205,1.10609,56557
2022.09.23,16:00,1.10608,1.10964,1.08621,1.08964,52561
2022.09.23,20:00,1.08967,1.09040,1.08388,1.08449,27148
2022.09.26,00:00,1.07948,1.08457,1.03889,1.03998,25086
2022.09.26,04:00,1.03973,1.06025,1.03528,1.05339,42859
2022.09.26,08:00,1.05340,1.07893,1.05239,1.07542,65432
2022.09.26,12:00,1.07542,1.09303,1.06718,1.08802,63105
2022.09.26,16:00,1.08804,1.08914,1.06312,1.06815,71832
2022.09.26,20:00,1.06812,1.07202,1.06416,1.06895,22939
2022.09.27,00:00,1.06771,1.07887,1.06512,1.07697,11348
2022.09.27,04:00,1.07696,1.07932,1.07381,1.07698,23591
2022.09.27,08:00,1.07698,1.08380,1.07638,1.08074,47429
2022.09.27,12:00,1.08069,1.08260,1.07692,1.07715,44085
2022.09.27,16:00,1.07720,1.07954,1.06606,1.06756,65234
2022.09.27,20:00,1.06756,1.07365,1.06584,1.07290,29377
2022.09.28,00:00,1.07283,1.07384,1.06855,1.06916,8826
2022.09.28,04:00,1.06914,1.06990,1.06309,1.06476,19203
2022.09.28,08:00,1.06481,1.07123,1.06402,1.06899,53301
2022.09.28,12:00,1.06900,1.08398,1.05395,1.06722,74392
2022.09.28,16:00,1.06715,1.08759,1.06192,1.08608,73241
2022.09.28,20:00,1.08609,1.09153,1.08524,1.08880,19119
2022.09.29,00:00,1.08859,1.08872,1.08036,1.08058,15999
2022.09.29,04:00,1.08055,1.08265,1.07817,1.08070,26626
2022.09.29,08:00,1.08073,1.08172,1.07622,1.07979,56769
2022.09.29,12:00,1.07979,1.08977,1.07968,1.08787,56661
2022.09.29,16:00,1.08787,1.11087,1.08783,1.10594,65873
2022.09.29,20:00,1.10598,1.11191,1.10375,1.11162,27616
2022.09.30,00:00,1.11099,1.12016,1.11077,1.11573,19083
2022.09.30,04:00,1.11572,1.11750,1.10700,1.11059,32188
2022.09.30,08:00,1.11060,1.12346,1.10927,1.12173,54190
2022.09.30,12:00,1.12185,1.12211,1.10250,1.10687,56853
2022.09.30,16:00,1.10687,1.11769,1.10504,1.11295,68379
2022.09.30,20:00,1.11293,1.11800,1.11180,1.11545,24797
2022.10.03,00:00,1.11595,1.11935,1.11103,1.11274,11965
2022.10.03,04:00,1.11275,1.11631,1.10859,1.10936,19181
2022.10.03,08:00,1.10936,1.12814,1.10912,1.12103,53511
2022.10.03,12:00,1.12103,1.12397,1.11693,1.12167,29038
2022.10.03,16:00,1.12167,1.13345,1.11999,1.12760,59744
2022.10.03,20:00,1.12762,1.13265,1.12650,1.13223,22890
2022.10.04,00:00,1.13186,1.13433,1.13097,1.13300,10869
2022.10.04,04:00,1.13300,1.13360,1.12802,1.13210,22431
2022.10.04,08:00,1.13208,1.14294,1.13184,1.13793,55798
2022.10.04,12:00,1.13792,1.13937,1.12992,1.13850,50167
2022.10.04,16:00,1.13856,1.14895,1.13513,1.14543,56019
2022.10.04,20:00,1.14544,1.14815,1.14273,1.14737,19205
2022.10.05,00:00,1.14733,1.14871,1.14198,1.14391,9996
2022.10.05,04:00,1.14390,1.14641,1.14137,1.14325,20237
2022.10.05,08:00,1.14325,1.14960,1.13800,1.14225,45875
2022.10.05,12:00,1.14225,1.14294,1.13047,1.13210,38955
2022.10.05,16:00,1.13211,1.13277,1.12271,1.12906,54311
2022.10.05,20:00,1.12906,1.13566,1.12891,1.13253,23808
2022.10.06,00:00,1.13225,1.13833,1.12969,1.13629,18188
2022.10.06,04:00,1.13629,1.13790,1.13325,1.13660,25010
2022.10.06,08:00,1.13660,1.13672,1.12788,1.12885,48249
2022.10.06,12:00,1.12886,1.13157,1.12416,1.12660,42867
2022.10.06,16:00,1.12660,1.12694,1.11131,1.11442,57734
2022.10.06,20:00,1.11443,1.11929,1.11415,1.11576,26619
2022.10.07,00:00,1.11557,1.11726,1.11344,1.11481,14421
2022.10.07,04:00,1.11482,1.11892,1.11389,1.11538,17221
2022.10.07,08:00,1.11540,1.12192,1.11153,1.11927,43491
2022.10.07,12:00,1.11930,1.12250,1.10913,1.11326,39443
2022.10.07,16:00,1.11323,1.11698,1.10906,1.10976,55651
2022.10.07,20:00,1.10979,1.11042,1.10552,1.10863,24805
2022.10.10,00:00,1.10798,1.10958,1.10576,1.10876,20627
2022.10.10,04:00,1.10876,1.11109,1.10692,1.10806,25412
2022.10.10,08:00,1.10806,1.11107,1.10272,1.10547,47265
2022.10.10,12:00,1.10548,1.10999,1.10425,1.10737,31730
2022.10.10,16:00,1.10739,1.10813,1.10249,1.10270,44169
2022.10.10,20:00,1.10268,1.10816,1.10196,1.10540,29396
2022.10.11,00:00,1.10525,1.10950,1.10496,1.10873,13080
2022.10.11,04:00,1.10873,1.10943,1.10179,1.10233,29640
2022.10.11,08:00,1.10231,1.10563,1.09974,1.10440,59073
2022.10.11,12:00,1.10438,1.11142,1.10310,1.10879,44249
2022.10.11,16:00,1.10880,1.11799,1.10436,1.11617,62208
2022.10.11,20:00,1.11618,1.11649,1.09519,1.09667,43026
2022.10.12,00:00,1.09627,1.09918,1.09480,1.09698,23349
2022.10.12,04:00,1.09697,1.10605,1.09230,1.09969,49144
2022.10.12,08:00,1.09962,1.10655,1.09539,1.10363,65553
2022.10.12,12:00,1.10365,1.10989,1.10210,1.10471,47992
2022.10.12,16:00,1.10471,1.10997,1.10221,1.10627,57503
2022.10.12,20:00,1.10625,1.11335,1.10599,1.10982,34347
2022.10.13,00:00,1.10983,1.11198,1.10876,1.11115,18072
2022.10.13,04:00,1.11115,1.11148,1.10754,1.10896,26348
2022.10.13,08:00,1.10895,1.11038,1.10575,1.11032,45978
2022.10.13,12:00,1.11032,1.12973,1.11000,1.12167,49363
2022.10.13,16:00,1.12162,1.13805,1.11589,1.13295,67620
2022.10.13,20:00,1.13279,1.13519,1.13009,1.13227,20310
2022.10.14,00:00,1.13105,1.13341,1.12893,1.13070,7242
2022.10.14,04:00,1.13070,1.13661,1.13056,1.13213,13889
2022.10.14,08:00,1.13210,1.13350,1.12547,1.12748,41274
2022.10.14,12:00,1.12751,1.13107,1.11667,1.12614,54138
2022.10.14,16:00,1.12612,1.12883,1.11521,1.11612,71882
2022.10.14,20:00,1.11611,1.11855,1.11553,1.11781,27262
2022.10.17,00:00,1.12108,1.12515,1.12089,1.12238,25227
2022.10.17,04:00,1.12238,1.12416,1.12157,1.12254,33118
2022.10.17,08:00,1.12256,1.13054,1.12235,1.12666,64371
2022.10.17,12:00,1.12671,1.13521,1.12555,1.13383,49864
2022.10.17,16:00,1.13382,1.14400,1.13343,1.13901,65446
2022.10.17,20:00,1.13901,1.14032,1.13431,1.13581,23526
2022.10.18,00:00,1.13559,1.13692,1.13455,1.13527,27453
2022.10.18,04:00,1.13526,1.14102,1.13308,1.13892,36926
2022.10.18,08:00,1.13893,1.14024,1.12867,1.12939,63861
2022.10.18,12:00,1.12939,1.13465,1.12555,1.13273,64247
2022.10.18,16:00,1.13271,1.13387,1.12801,1.13131,70615
2022.10.18,20:00,1.13129,1.13345,1.12792,1.13217,32259
2022.10.19,00:00,1.13130,1.13584,1.13096,1.13406,22484
2022.10.19,04:00,1.13404,1.13507,1.13175,1.13258,44232
2022.10.19,08:00,1.13254,1.13304,1.12456,1.12619,61850
2022.10.19,12:00,1.12622,1.12863,1.12214,1.12459,59042
2022.10.19,16:00,1.12462,1.12784,1.11886,1.11932,53342
2022.10.19,20:00,1.11934,1.12267,1.11846,1.12166,27833
2022.10.20,00:00,1.12156,1.12284,1.11970,1.12086,23060
2022.10.20,04:00,1.12084,1.12416,1.11906,1.12211,44386
2022.10.20,08:00,1.12211,1.12403,1.11799,1.11846,64462
2022.10.20,12:00,1.11849,1.13077,1.11714,1.12551,72027
2022.10.20,16:00,1.12554,1.13367,1.12425,1.12552,76190
2022.10.20,20:00,1.12552,1.12556,1.12024,1.12350,39358
2022.10.21,00:00,1.12324,1.12380,1.11980,1.12063,18784
2022.10.21,04:00,1.12064,1.12189,1.11900,1.11962,40839
2022.10.21,08:00,1.11962,1.12227,1.11230,1.11307,61233
2022.10.21,12:00,1.11306,1.11539,1.10607,1.11290,59312
2022.10.21,16:00,1.11289,1.12998,1.11171,1.12597,88257
2022.10.21,20:00,1.12604,1.13143,1.12426,1.12932,28183
2022.10.24,00:00,1.13793,1.14083,1.13067,1.13278,34133
2022.10.24,04:00,1.13277,1.13538,1.12999,1.13479,39721
2022.10.24,08:00,1.13478,1.13824,1.13029,1.13264,55250
2022.10.24,12:00,1.13276,1.13490,1.12732,1.13245,59506
2022.10.24,16:00,1.13242,1.13442,1.12579,1.12752,69975
2022.10.24,20:00,1.12755,1.12959,1.12714,1.12767,17161
2022.10.25,00:00,1.12712,1.13255,1.12695,1.13184,19820
2022.10.25,04:00,1.13183,1.13241,1.12921,1.12988,39504
2022.10.25,08:00,1.12991,1.13321,1.12711,1.13206,49395
2022.10.25,12:00,1.13204,1.13641,1.13051,1.13633,41493
2022.10.25,16:00,1.13634,1.14994,1.13629,1.14699,56318
2022.10.25,20:00,1.14695,1.14880,1.14598,1.14693,24412
2022.10.26,00:00,1.14693,1.14760,1.14317,1.14384,17301
2022.10.26,04:00,1.14384,1.14677,1.14302,1.14525,33543
2022.10.26,08:00,1.14525,1.16064,1.14453,1.16003,62494
2022.10.26,12:00,1.16001,1.16203,1.15456,1.15553,64570
2022.10.26,16:00,1.15552,1.16389,1.15439,1.16105,59769
2022.10.26,20:00,1.16108,1.16335,1.15975,1.16267,13655
2022.10.27,00:00,1.16162,1.16451,1.15772,1.16247,12561
2022.10.27,04:00,1.16249,1.16396,1.16046,1.16231,16259
2022.10.27,08:00,1.16230,1.16366,1.15853,1.15904,40674
2022.10.27,12:00,1.15902,1.15956,1.15490,1.15778,46063
2022.10.27,16:00,1.15777,1.16343,1.15567,1.15733,60971
2022.10.27,20:00,1.15734,1.16017,1.15573,1.15629,14766
